timeout,active,inactive,run_time,idle_time,sleep_time,timeout_waiting_time,total_time,total_time_no_dpm,transitions_number,transitions_time,transition_energy,total_energy,total_energy_no_dpm
10.5,2.547000,1089.439000,3.543800,1088.363500,0.000000,0.996800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7201560750,30.1388136000
11.0,2.547000,1089.439000,3.642800,1088.264500,0.000000,1.095800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7228320450,30.1388136000
11.5,2.547000,1089.439000,3.642800,1088.264500,0.000000,1.095800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7228320450,30.1388136000
12.0,2.547000,1089.439000,3.741800,1088.165500,0.000000,1.194800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7255080150,30.1388136000
12.5,2.547000,1089.439000,3.741800,1088.165500,0.000000,1.194800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7255080150,30.1388136000
13.0,2.547000,1089.439000,3.840800,1088.066500,0.000000,1.293800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7281839850,30.1388136000
13.5,2.547000,1089.439000,3.840800,1088.066500,0.000000,1.293800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7281839850,30.1388136000
14.0,2.547000,1089.439000,3.939800,1087.967500,0.000000,1.392800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7308599550,30.1388136000
14.5,2.547000,1089.439000,3.939800,1087.967500,0.000000,1.392800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7308599550,30.1388136000
15.0,2.547000,1089.439000,4.038800,1087.868500,0.000000,1.491800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7335359250,30.1388136000
15.5,2.547000,1089.439000,4.038800,1087.868500,0.000000,1.491800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7335359250,30.1388136000
16.0,2.547000,1089.439000,4.137800,1087.769500,0.000000,1.590800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7362118950,30.1388136000
16.5,2.547000,1089.439000,4.137800,1087.769500,0.000000,1.590800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7362118950,30.1388136000
17.0,2.547000,1089.439000,4.236800,1087.670500,0.000000,1.689800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7388878650,30.1388136000
17.5,2.547000,1089.439000,4.236800,1087.670500,0.000000,1.689800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7388878650,30.1388136000
18.0,2.547000,1089.439000,4.335800,1087.571500,0.000000,1.788800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7415638350,30.1388136000
18.5,2.547000,1089.439000,4.335800,1087.571500,0.000000,1.788800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7415638350,30.1388136000
19.0,2.547000,1089.439000,4.434800,1087.472500,0.000000,1.887800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7442398050,30.1388136000
19.5,2.547000,1089.439000,4.434800,1087.472500,0.000000,1.887800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7442398050,30.1388136000
20.0,2.547000,1089.439000,4.533700,1087.373600,0.000000,1.986700,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7469130720,30.1388136000
